Program Name/Major,Academic Division/School,Degree Level,Graduation Date,Job Title,Employing Organization,Position Location - State
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Marketing Coordinator,Google,IL
Computer Science,School of Engineering,Bachelor's,5/15/2019,Civil Engineer,Xcel Energy,MN
Operations Management,Opus College of Business,Bachelor's,5/15/2021,Accountant,Osseo Area Schools,MA
Civil Engineering,School of Engineering,Bachelor's,5/15/2020,Executive Assistant,Target (Tech),CA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2023,Sales Representative,RBC Wealth Management,MN
Social Work,School of Education,Bachelor's,5/15/2021,Administrative Assistant,Kraus-Anderson,WI
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Auditor,Boston Consulting Group,FL
Biology,College of Arts and Sciences,Bachelor's,5/15/2020,Supply Chain Coordinator,Donaldson Company,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2021,Lab Technician,Fairview,CO
Software Engineering,School of Engineering,Bachelor's,5/15/2020,Leasing Agent,Medtronic,CA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2023,Legal Assistant,CBRE Group,CO
Biology,College of Arts and Sciences,Bachelor's,5/15/2020,Research Scientist,Optum,IA
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Inside Sales Rep,Sleep Number,NE
Music - Business,College of Arts and Sciences,Bachelor's,5/15/2024,Assistant,Boston Consulting Group,CO
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2020,Web Developer,Land O'Lakes,IL
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Design Engineer,US Bank,WI
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Accountant,Wells Fargo,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Financial Analyst,Deloitte,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2024,Creative Director,CenterPoint Energy,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2024,Health Coach,McGough Construction,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Electrical Engineer,Boston Consulting Group,WI
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Content Strategist,Kraus-Anderson,MN
Digital Media Arts,College of Arts and Sciences,Bachelor's,5/15/2022,Marketing Coordinator,AmeriCorps,GA
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Software Engineer,EY,OH
Electrical Engineering,School of Engineering,Bachelor's,5/15/2024,Tutor,Cargill,IL
Operations Management,Opus College of Business,Bachelor's,5/15/2022,Financial Analyst,Mortenson,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2021,Team Lead,NextEra Energy,IA
Data Analytics,School of Engineering,Bachelor's,5/15/2025,Data Scientist,Accenture,NE
Political Science,College of Arts and Sciences,Bachelor's,5/15/2020,Multimedia Specialist,Osseo Area Schools,IL
History,College of Arts and Sciences,Bachelor's,5/15/2023,Government Affairs Specialist,Kraus-Anderson,SD
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,Web Developer,3M,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2019,Grant Writer,Deloitte,SD
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Policy Analyst,Land O'Lakes,TX
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Account Executive,Microsoft,MN
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2024,Marketing Coordinator,Optum,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2022,Data Scientist,Sleep Number,WA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2023,Instructor,State of Minnesota,NE
Biology,College of Arts and Sciences,Bachelor's,5/15/2021,Research Scientist,Optum,IA
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2024,Brand Manager,Allianz,WA
Communication Studies,College of Arts and Sciences,Bachelor's,5/15/2025,Social Media Manager,CBRE Group,OH
Political Science,College of Arts and Sciences,Bachelor's,5/15/2020,Teacher,Kraus-Anderson,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Account Manager,Land O'Lakes,NY
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2022,Legal Assistant,Accenture,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Tax Associate,Ameriprise Financial,MA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,Inside Sales Rep,Great River Energy,GA
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Education Coordinator,Cargill,GA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Health Coach,McGough Construction,NE
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,IT Analyst,PwC,OH
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Instructor,Fastenal,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Sales Representative,Target,CO
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,UX Designer,Abbott Laboratories,MA
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,HR Coordinator,US Bank,WI
Human Resources Management,Opus College of Business,Bachelor's,5/15/2020,Specialist,Ameriprise Financial,MN
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2021,DevOps Engineer,University of St. Thomas,IL
Economics,College of Arts and Sciences,Bachelor's,5/15/2025,Social Worker,EY,FL
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Visual Designer,Grant Thornton,NE
Digital Media Arts,College of Arts and Sciences,Bachelor's,5/15/2024,Business Development Associate,General Mills,MN
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2020,Teaching Assistant,Wayzata Public Schools,FL
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2020,Scientist,Target (Tech),IL
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Account Executive,Grant Thornton,FL
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Electrical Engineer,Grant Thornton,TX
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Financial Analyst,Xcel Energy,MA
Political Science,College of Arts and Sciences,Bachelor's,5/15/2019,Account Manager,US Bank,WA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2022,Specialist,Cargill,IA
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Office Coordinator,CBRE Group,WA
Communication Studies,College of Arts and Sciences,Bachelor's,5/15/2020,Content Strategist,Deloitte,OH
Chemistry,College of Arts and Sciences,Bachelor's,5/15/2024,Underwriter,Medtronic,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Design Engineer,McKinsey,OH
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Underwriter,CBRE Group,CA
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2020,Program Coordinator,Osseo Area Schools,NE
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Business Analyst,KPMG,WA
Biology,College of Arts and Sciences,Bachelor's,5/15/2024,Clinical Research Coordinator,Ameriprise Financial,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Site Supervisor,PwC,TX
Economics - Business,Opus College of Business,Bachelor's,5/15/2021,Accountant,CBRE Group,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2019,Program Coordinator,St. Paul Public Schools,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Social Media Manager,NextEra Energy,IA
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Specialist,Sleep Number,GA
Electrical Engineering,School of Engineering,Bachelor's,5/15/2019,Instructor,EY,MN
Operations Management,Opus College of Business,Bachelor's,5/15/2022,Accountant,Grant Thornton,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Tax Associate,Wells Fargo,MA
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Strategy Analyst,Kraus-Anderson,TX
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Project Engineer,General Mills,FL
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2021,Underwriter,Boston Consulting Group,IA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2023,Program Coordinator,Donaldson Company,OH
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2019,Business Development Associate,Kraus-Anderson,CO
Accounting,Opus College of Business,Bachelor's,5/15/2023,Account Executive,Securian Financial,TX
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Government Affairs Specialist,US Army,MN
Civil Engineering,School of Engineering,Bachelor's,5/15/2023,Social Worker,CenterPoint Energy,SD
Data Science,School of Engineering,Bachelor's,5/15/2023,Business Intelligence Analyst,AWS,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,Underwriter,US Army,FL
Elementary Education (K-6),School of Education,Bachelor's,5/15/2025,Social Worker,Cargill,SD
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Data Scientist,AmeriCorps,SD
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2023,Real Estate Analyst,KPMG,CO
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,Software Engineer,Peace Corps,MN
Political Science,College of Arts and Sciences,Bachelor's,5/15/2022,Case Manager,Wells Fargo,TX
Data Analytics,School of Engineering,Bachelor's,5/15/2024,Project Engineer,IBM,NY
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2022,Software Engineer,Grant Thornton,NY
Data Science,School of Engineering,Bachelor's,5/15/2023,Data Scientist,Medtronic,SD
Biology,College of Arts and Sciences,Bachelor's,5/15/2019,Supply Chain Coordinator,Allina Health,GA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2022,Social Media Manager,Securian Financial,WI
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Account Manager,Peace Corps,ND
Political Science,College of Arts and Sciences,Bachelor's,5/15/2023,Teacher,Abbott Northwestern Hospital,GA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,DevOps Engineer,Intel,NY
Biology,College of Arts and Sciences,Bachelor's,5/15/2023,UX Designer,Allina Health,IA
Criminal Justice,College of Arts and Sciences,Bachelor's,5/15/2020,Registered Nurse,Minneapolis Public Schools,ND
Operations Management,Opus College of Business,Bachelor's,5/15/2024,Operations Manager,3M,CA
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2024,Underwriter,Medtronic,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Design Engineer,Ryan Companies,MN
Economics,College of Arts and Sciences,Bachelor's,5/15/2025,Assistant,Xcel Energy,GA
Spanish Cultural/Literary St.,College of Arts and Sciences,Bachelor's,5/15/2021,Marketing Coordinator,Peace Corps,MN
Social Work,School of Education,Bachelor's,5/15/2020,Instructor,PwC,TX
Manufacturing Engineering,School of Engineering,Bachelor's,5/15/2021,Advisory Associate,General Mills,MN
Chemistry,College of Arts and Sciences,Bachelor's,5/15/2024,Medical Assistant,McGough Construction,SD
Political Science,College of Arts and Sciences,Bachelor's,5/15/2024,Public Administrator,Mortenson,OH
Accounting,Opus College of Business,Bachelor's,5/15/2019,Content Strategist,US Army,ND
Computer Science,School of Engineering,Bachelor's,5/15/2025,Brand Manager,3M,CA
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2020,Paralegal,Children's Minnesota,CO
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Talent Acquisition Specialist,Kraus-Anderson,IL
Computer Science,School of Engineering,Bachelor's,5/15/2022,DevOps Engineer,Optum,NY
Economics - Business,Opus College of Business,Bachelor's,5/15/2020,Account Executive,Best Buy,MN
International Business,Opus College of Business,Bachelor's,5/15/2024,Marketing Coordinator,EY,SD
Software Engineering,School of Engineering,Bachelor's,5/15/2023,Civil Engineer,General Mills,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Appraiser,UnitedHealth Group,TX
Operations Management,Opus College of Business,Bachelor's,5/15/2023,Project Manager,US Bank,WI
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2021,Tax Associate,Mayo Clinic,NY
Strategic Comm: Ad and PR,College of Arts and Sciences,Bachelor's,5/15/2019,Auditor,CBRE Group,MN
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2024,Accountant,CBRE Group,MN
Data Science,School of Engineering,Bachelor's,5/15/2024,Civil Engineer,Securian Financial,CA
Biology,College of Arts and Sciences,Bachelor's,5/15/2024,Research Scientist,Abbott Northwestern Hospital,IL
Social Work,School of Education,Bachelor's,5/15/2022,Education Coordinator,City of Minneapolis,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2024,Civil Engineer,St. Paul Public Schools,MN
Operations Management,Opus College of Business,Bachelor's,5/15/2022,Social Worker,PwC,FL
Psychology,College of Arts and Sciences,Bachelor's,5/15/2022,Tutor,Ryan Companies,ND
Psychology,College of Arts and Sciences,Bachelor's,5/15/2023,Legislative Aide,Optum,IA
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2024,Research Assistant,RBC Wealth Management,MN
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2022,Underwriter,Kraus-Anderson,SD
Data Analytics,School of Engineering,Bachelor's,5/15/2024,Medical Assistant,3M,NY
Manufacturing Engineering,School of Engineering,Bachelor's,5/15/2021,Project Engineer,3M,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Recruiter,McGough Construction,SD
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2023,Social Worker,Accenture,CO
Criminal Justice,College of Arts and Sciences,Bachelor's,5/15/2022,Consultant,McGough Construction,IL
Computer Science,School of Engineering,Bachelor's,5/15/2019,Consultant,Polaris,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Software Engineer,Kraus-Anderson,GA
English,College of Arts and Sciences,Bachelor's,5/15/2021,Legislative Aide,General Mills,TX
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2020,Tax Associate,PwC,WI
Psychology,College of Arts and Sciences,Bachelor's,5/15/2023,Contract Specialist,Ameriprise Financial,GA
Computer Science,School of Engineering,Bachelor's,5/15/2025,Project Engineer,AWS,CA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2025,Instructor,Accenture,IL
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2025,Clinical Research Coordinator,Target (Tech),NE
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2025,Health Coach,Accenture,SD
Elementary Education (K-6),School of Education,Bachelor's,5/15/2020,Property Manager,Peace Corps,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2020,Office Coordinator,Xcel Energy,FL
Strategic Comm: Ad and PR,College of Arts and Sciences,Bachelor's,5/15/2025,Recruiter,Deloitte,FL
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Quantitative Analyst,Polaris,ND
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2022,Electrical Engineer,Cargill,ND
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Civil Engineer,IBM,WI
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2023,Business Intelligence Analyst,KPMG,WA
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2019,Research Scientist,Fairview,CO
Accounting,Opus College of Business,Bachelor's,5/15/2019,Assistant Manager,Fairview,NY
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,HR Generalist,3M,CA
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2025,Civil Engineer,Cargill,OH
Journalism,College of Arts and Sciences,Bachelor's,5/15/2019,Case Manager,Accenture,NE
Accounting,Opus College of Business,Bachelor's,5/15/2022,Content Strategist,Kraus-Anderson,OH
Computer Engineering,School of Engineering,Bachelor's,5/15/2020,Construction Manager,AWS,NY
Accounting,Opus College of Business,Bachelor's,5/15/2023,Social Worker,NextEra Energy,NY
Physics,College of Arts and Sciences,Bachelor's,5/15/2019,Brand Manager,RBC Wealth Management,WI
Human Resources Management,Opus College of Business,Bachelor's,5/15/2022,Research Assistant,Wells Fargo,NY
English,College of Arts and Sciences,Bachelor's,5/15/2020,Management Consultant,State of Minnesota,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Site Supervisor,Kraus-Anderson,NE
Computer Science,School of Engineering,Bachelor's,5/15/2021,Web Developer,Accenture,GA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2024,DevOps Engineer,Wells Fargo,MA
Economics - Business,Opus College of Business,Bachelor's,5/15/2019,Team Lead,Donaldson Company,CO
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Project Manager,Fastenal,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2022,Advisory Associate,UnitedHealth Group,MN
Computer Science,School of Engineering,Bachelor's,5/15/2020,HR Coordinator,Mortenson,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Scientist,AWS,OH
Accounting,Opus College of Business,Bachelor's,5/15/2019,Policy Analyst,3M,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Education Coordinator,3M,CO
Strategic Comm: Ad and PR,College of Arts and Sciences,Bachelor's,5/15/2020,Physical Therapist,US Bank,GA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Auditor,Optum,TX
Computer Science,School of Engineering,Bachelor's,5/15/2024,Legislative Aide,Mortenson,ND
Computer Science,School of Engineering,Bachelor's,5/15/2020,Electrical Engineer,Polaris,GA
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Software Engineer,Allianz,NE
Political Science,College of Arts and Sciences,Bachelor's,5/15/2021,Quantitative Analyst,Sleep Number,TX
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2024,Web Developer,Mayo Clinic,ND
Music - Business,College of Arts and Sciences,Bachelor's,5/15/2024,Instructor,Mortenson,TX
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2021,Underwriter,Cargill,MN
Data Science,School of Engineering,Bachelor's,5/15/2020,Analytics Consultant,Donaldson Company,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2024,Lab Technician,Land O'Lakes,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2022,Account Manager,EY,GA
Computer Science,School of Engineering,Bachelor's,5/15/2020,Estimator,Optum,IL
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2025,Real Estate Associate,Toro Company,MN
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2021,Office Manager,Accenture,WA
Social Work,School of Education,Bachelor's,5/15/2020,Teacher,Sleep Number,MA
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Assistant,Allianz,TX
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2024,HR Coordinator,EY,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Social Media Manager,Mortenson,GA
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Business Intelligence Analyst,Target (Tech),MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Inside Sales Rep,UnitedHealth Group,IA
Operations Management,Opus College of Business,Bachelor's,5/15/2021,Compliance Analyst,Sleep Number,WI
Psychology,College of Arts and Sciences,Bachelor's,5/15/2019,Policy Analyst,Peace Corps,FL
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2019,Account Manager,Deloitte,CA
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Real Estate Analyst,Abbott Northwestern Hospital,MA
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Talent Acquisition Specialist,Ameriprise Financial,ND
Middle/Secondary Education,School of Education,Bachelor's,5/15/2019,Lab Technician,St. Paul Public Schools,MN
Computer Science,School of Engineering,Bachelor's,5/15/2025,Software Engineer,3M,ND
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Policy Analyst,3M,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2023,Government Affairs Specialist,AWS,NY
Electrical Engineering,School of Engineering,Bachelor's,5/15/2024,IT Analyst,Great River Energy,ND
Social Work,School of Education,Bachelor's,5/15/2019,Real Estate Analyst,University of St. Thomas,NE
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2023,HR Generalist,Wells Fargo,CA
Social Work,School of Education,Bachelor's,5/15/2024,Talent Acquisition Specialist,St. Paul Public Schools,CA
Data Science,School of Engineering,Bachelor's,5/15/2025,DevOps Engineer,3M,MA
Financial Management,Opus College of Business,Bachelor's,5/15/2023,DevOps Engineer,EY,MN
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2025,Web Developer,EY,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Inside Sales Rep,UnitedHealth Group,MN
Software Engineering,School of Engineering,Bachelor's,5/15/2022,Business Analyst,Medtronic,ND
Electrical Engineering,School of Engineering,Bachelor's,5/15/2023,DevOps Engineer,NextEra Energy,MN
Accounting,Opus College of Business,Bachelor's,5/15/2020,Business Development Associate,University of St. Thomas,GA
Nursing,College of Arts and Sciences,Bachelor's,5/15/2023,Medical Assistant,Kraus-Anderson,MN
Computer Science,School of Engineering,Bachelor's,5/15/2020,Analytics Consultant,Optum,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Specialist,Deloitte,MN
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2020,Brand Manager,UnitedHealth Group,IA
Elementary Education (K-6),School of Education,Bachelor's,5/15/2023,Education Coordinator,City of Minneapolis,MN
Manufacturing Engineering,School of Engineering,Bachelor's,5/15/2019,Design Engineer,Target (Tech),GA
Computer Science,School of Engineering,Bachelor's,5/15/2022,Tax Associate,Boston Consulting Group,CO
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2019,Auditor,US Bank,ND
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2020,Real Estate Associate,Wayzata Public Schools,WI
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Brand Manager,Cargill,NE
Elementary Education (K-6),School of Education,Bachelor's,5/15/2020,Community Outreach Specialist,Wayzata Public Schools,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,Receptionist,Intel,TX
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2024,Teacher,General Mills,IL
Computer Science,School of Engineering,Bachelor's,5/15/2023,Administrative Assistant,EY,MN
Social Work,School of Education,Bachelor's,5/15/2023,Instructor,St. Paul Public Schools,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2019,Legislative Aide,Target,IA
Electrical Engineering,School of Engineering,Bachelor's,5/15/2019,Systems Administrator,Accenture,OH
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2022,Teaching Assistant,Deloitte,FL
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Design Engineer,Target,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Account Executive,Sleep Number,MA
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2020,Coordinator,CBRE Group,MA
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2023,Government Affairs Specialist,Securian Financial,NY
Biology,College of Arts and Sciences,Bachelor's,5/15/2023,Registered Nurse,Allianz,MN
Computer Engineering,School of Engineering,Bachelor's,5/15/2022,HR Generalist,3M,MN
Accounting,Opus College of Business,Bachelor's,5/15/2024,Content Strategist,Target,OH
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Operations Analyst,IBM,IA
Public Health,College of Arts and Sciences,Bachelor's,5/15/2020,Lab Technician,Fairview,IA
Computer Science,School of Engineering,Bachelor's,5/15/2020,Mechanical Engineer,Mortenson,ND
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Clinical Research Associate,Peace Corps,FL
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,IT Analyst,Sleep Number,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Program Manager,Abbott Laboratories,FL
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Project Engineer,McGough Construction,IA
Manufacturing Engineering,School of Engineering,Bachelor's,5/15/2021,Tutor,Accenture,NE
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,Supply Chain Coordinator,Donaldson Company,FL
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2020,Creative Director,General Mills,MN
Electrical Engineering,School of Engineering,Bachelor's,5/15/2021,Executive Assistant,EY,ND
Music,College of Arts and Sciences,Bachelor's,5/15/2020,Real Estate Associate,Fastenal,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2022,Community Outreach Specialist,Fairview,GA
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2022,Clinical Research Coordinator,Allina Health,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Contract Specialist,Boston Consulting Group,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Site Supervisor,3M,MN
Economics,College of Arts and Sciences,Bachelor's,5/15/2024,Legislative Aide,Hennepin County,WI
Accounting,Opus College of Business,Bachelor's,5/15/2022,Business Analyst,Target,IA
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Accountant,KPMG,NE
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2019,Business Development Associate,Accenture,ND
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Data Analyst,Sleep Number,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Legal Coordinator,KPMG,GA
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Accountant,KPMG,MN
Civil Engineering,School of Engineering,Bachelor's,5/15/2022,Electrical Engineer,Kraus-Anderson,OH
Biology,College of Arts and Sciences,Bachelor's,5/15/2025,Legal Coordinator,AmeriCorps,SD
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2021,Lab Technician,CenterPoint Energy,SD
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Logistics Manager,Sleep Number,CA
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2020,Case Manager,St. Paul Public Schools,SD
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Clinical Research Coordinator,Fastenal,CO
Accounting,Opus College of Business,Bachelor's,5/15/2021,Business Analyst,PwC,GA
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Account Manager,RBC Wealth Management,MN
Operations Management,Opus College of Business,Bachelor's,5/15/2019,Auditor,Cargill,IL
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Financial Analyst,RBC Wealth Management,IA
International Business,Opus College of Business,Bachelor's,5/15/2021,Advisory Associate,CenterPoint Energy,IA
Computer Science,School of Engineering,Bachelor's,5/15/2021,Design Engineer,Toro Company,GA
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2019,Business Intelligence Analyst,Abbott Northwestern Hospital,CO
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Multimedia Specialist,EY,FL
Public Health,College of Arts and Sciences,Bachelor's,5/15/2020,Social Worker,Abbott Northwestern Hospital,CO
Psychology,College of Arts and Sciences,Bachelor's,5/15/2021,Instructor,Kraus-Anderson,MA
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Sales Representative,UnitedHealth Group,NE
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,Supply Chain Coordinator,Osseo Area Schools,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Auditor,PwC,SD
Communication Studies,College of Arts and Sciences,Bachelor's,5/15/2022,Case Manager,Donaldson Company,NE
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Assistant,Microsoft,TX
Software Engineering,School of Engineering,Bachelor's,5/15/2023,Analytics Consultant,Target (Tech),OH
Software Engineering,School of Engineering,Bachelor's,5/15/2022,Tutor,Abbott Northwestern Hospital,NE
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Account Manager,Securian Financial,MN
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2023,Clinical Research Associate,CenterPoint Energy,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Mechanical Engineer,Accenture,IA
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2025,Strategy Analyst,Boston Consulting Group,CO
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Financial Analyst,Optum,MN
Operations Management,Opus College of Business,Bachelor's,5/15/2022,Consultant,Wells Fargo,OH
Political Science,College of Arts and Sciences,Bachelor's,5/15/2024,Property Manager,CBRE Group,NE
